wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
740,0.00032000000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
745,0.00035,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
750,0.00032000000000000003,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
755,0.00027,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
760,0.00023000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
765,0.00021000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
770,0.00022000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
775,0.00024000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
780,0.00025000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
785,0.00025999999999999998,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
790,0.00025000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
795,0.00024000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
800,0.00023000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
805,0.00022000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
810,0.00022000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
815,0.00022000000000000001,source_backed,source/phyto_absorption_default_stage2_baseline_350_850.csv,preserve_2026-08-09_stage2_baseline,source-backed OCRT baseline
