family,path,sha256_16,n_angle_decl,wl_min_um,wl_max_um,teta_n_wl
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r85f95v01.mie,58cc556777beaa49,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f00v01.mie,eaa5a6ec654bb688,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f01v01.mie,0f47ec9f1071e827,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f02v01.mie,6ffd75ec32a0e464,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f05v01.mie,6d1e0f752f1a2a4c,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f10v01.mie,1e13768cebef18b3,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f20v01.mie,5384e5ac98d622ec,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f30v01.mie,24481988ab0e6e95,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f50v01.mie,781825cba41a3094,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f80v01.mie,a00100c949a8f463,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r90f95v01.mie,2b9de3cb769e48cf,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f00v01.mie,37087d08d36b0673,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f01v01.mie,4782b5e333a62945,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f02v01.mie,cdc3026576d0238a,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f05v01.mie,1fa4dc284aa8ff58,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f10v01.mie,f3b1e412d6f431de,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f20v01.mie,7d014dc6505c33f9,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f30v01.mie,d4217b204a711301,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f50v01.mie,ac179306fdd7dca7,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f80v01.mie,93b24b9f1770144c,631,0.33,1.95,22
ahmad_paper,inputs/aerosol_ahmad2010_paper_mie/A2010ver_r95f95v01.mie,7a0e7a72da62a73e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f00v01.mie,8e23bbb453ae19a3,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f01v01.mie,8fa664e15ba81f29,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f02v01.mie,4c0919c658cd06c6,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f05v01.mie,55f2bf655567c2ae,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f10v01.mie,ad0bfa99427b10d6,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f20v01.mie,b3ee55fe30f2a292,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f30v01.mie,3f9996e9e5caba26,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f50v01.mie,5a45967e88f03849,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f80v01.mie,54308a72f099d20a,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r30f95v01.mie,38acd52e9fc9839d,631,0.33,1.95,22
