sza_deg,vza_deg,raa_deg,rep_eI,rep_eP,med_eI,med_eP,q25_eP,slope
25,75,300,0.00046163728239521657,0.005264357306607615,0.00014343895703484728,0.01449615600337264,0.0032342041693981765,0.8015127779545268
25,75,305,0.00043154944085514475,0.004672832641094578,0.00012853670672864984,0.01329785868807537,0.0022465221673274027,0.6367831645330405
25,75,310,0.00040745187487631254,0.004291675709052265,0.00011814523282113959,0.01247126783168108,0.0016101456649201588,0.7109419566800437
25,75,315,0.0003878771582511301,0.004055748709609745,0.00011415073885847867,0.011660208669412078,0.001672680065317941,0.6642350791897346
25,75,320,0.00037201332276330483,0.003901552167754676,0.00011046046294586843,0.011003248466927212,0.001959625864045465,0.6712068115264302
25,75,325,0.0003587019806428537,0.00376368652961791,0.00010953192492932189,0.010521382725256151,0.0018701817786243523,0.6391580078367329
25,75,330,0.0003464348277553292,0.0035805199954437625,0.00010824280024835037,0.010156112586089693,0.0017041341783450331,0.5735175260890971
25,75,335,0.0003347616067744504,0.0033418309043764484,0.00010532498456819299,0.009885206022675317,0.001654994647509488,0.5329626079820732
25,75,340,0.0003246482214543517,0.0031089390675965475,0.00010244593763825355,0.009725270290499636,0.0016540684267374918,0.40602724918580535
25,75,345,0.00031703594830335795,0.0029317577681685814,0.00010074620656128682,0.009651153731951755,0.0016526475984184074,0.4935530530229852
25,75,350,0.0003118279046257803,0.002807159288540902,0.00010029273740095029,0.009593855910294363,0.001654527925317162,0.5150190435368487
25,75,355,0.00030861271199376754,0.0027542420532216663,9.926198134447119e-05,0.009526589457998396,0.001659816803881777,0.5305651427446691
25,80,0,0.0006068659287710616,0.00739598615497798,0.00022189303678778628,0.010687410122412838,0.003430576271909166,0.6054850055695246
25,80,5,0.0006092043007984074,0.007473214875966659,0.0002256563946390574,0.010652749438841173,0.0034576447923256736,0.6010590735792045
25,80,10,0.0006149821747779248,0.0076032780200652045,0.00023114608398440125,0.0107051097692006,0.0034829631803220936,0.6023220739428756
25,80,15,0.0006218011802452163,0.007589277512066254,0.00023062543803026216,0.011040781287546481,0.003427520544132194,0.6272097549773903
25,80,20,0.0006286709645971725,0.007374222786127504,0.000221403911710064,0.011499371860692964,0.0033347617025228384,0.6562249656010997
25,80,25,0.0006371492897158642,0.00715363995712218,0.00021468866083731867,0.011788747318160804,0.0032518988630978775,0.6729496423750319
25,80,30,0.0006494460440668245,0.007211112115600699,0.00021375181750150083,0.011999027553970473,0.003246893622894489,0.6610806345733616
25,80,35,0.0006660126180428987,0.007652526302832425,0.00021477130573693956,0.01248924109194864,0.0032314418630882374,0.6779494413487339
25,80,40,0.0006865206160097496,0.008328011211869962,0.00022506986084637687,0.013361283404243689,0.0033860191257113585,0.6581358312614417
25,80,45,0.0007131179677640556,0.009025329784573889,0.00023767566172694723,0.013742915416059775,0.004655323576733099,0.6896046620429093
25,80,50,0.0007500875784769052,0.009722985130477691,0.0002552995815224865,0.013866813377942128,0.005545093907577634,0.7610999487257653
25,80,55,0.0007982894079812519,0.010584635492824221,0.00028319657924642024,0.014291347603908221,0.005925332245053169,0.7963241251729363
25,80,60,0.0008519818760565102,0.011681416525051513,0.0003182492150562953,0.014963344735050827,0.006237771398500783,0.7498226836858704
25,80,65,0.0009044082804983162,0.012789230133851224,0.00034880071913413486,0.015412949138900272,0.006686887800124382,0.8883234862039433
25,80,70,0.0009565502176579529,0.013545823869900017,0.00036968673590565253,0.015885237487029642,0.007056560902819022,0.9286457070307157
25,80,75,0.0010171867944601329,0.013823125595473554,0.00039164313798569113,0.016606981687370508,0.007161015268864612,0.8897481730493457
25,80,80,0.001092443899202612,0.013862760590170654,0.0004213357982206763,0.017411287438996143,0.007113326014427332,0.9922249554610851
25,80,85,0.0011780982018017722,0.013974203454975498,0.0004452913951823942,0.018275094353967087,0.006973148171121714,1.0406643037582588
25,80,90,0.0012655101200353593,0.014139525145664692,0.0004664771270396235,0.018836981161500895,0.006739185662941912,1.0733262438373568
25,80,95,0.0013538433969459505,0.014032851873772125,0.00048760457798317433,0.019304309271727643,0.006482117461494631,1.0999068579434073
25,80,100,0.001451915567364159,0.0134636674617461,0.0005161709231397043,0.020200843665828687,0.006436019237448828,1.1470077285925786
25,80,105,0.0015664370477527709,0.0126108406206164,0.0005602667861888261,0.021456104731472463,0.006601206242388887,1.1086677315645486
25,80,110,0.00169217892388163,0.01171094996890127,0.0006084762149571477,0.02232771023588181,0.006493138159733786,1.1254694394787335
25,80,115,0.001817473134227296,0.010693425261432025,0.0006567407754010397,0.022491082137822388,0.005752411147670344,1.1734521570046303
25,80,120,0.0019378707946904154,0.009323604552154975,0.0006948736405501749,0.022680694732551125,0.005168944246696682,1.159328191218322
