vza,raa,julyOCRT_rrs0minus_I,julyOCRT_rrs0minus_Q,julyOCRT_rrs0minus_U,julyOCRT_Rrs0plus_I,julyOCRT_Rrs0plus_Q,julyOCRT_Rrs0plus_U,julyOSOAA_rrs0minus_I,julyOSOAA_rrs0minus_Q,julyOSOAA_rrs0minus_U,julyOSOAA_Rrs0plus_I,julyOSOAA_Rrs0plus_Q,julyOSOAA_Rrs0plus_U,curMoment_rrs0minus_I,curMoment_rrs0minus_Q,curMoment_rrs0minus_U,curMoment_Rrs0plus_I,curMoment_Rrs0plus_Q,curMoment_Rrs0plus_U,curDirect_rrs0minus_I,curDirect_rrs0minus_Q,curDirect_rrs0minus_U,curDirect_Rrs0plus_I,curDirect_Rrs0plus_Q,curDirect_Rrs0plus_U
5.0,105.0,2.6727610849e-02,1.2077512965e-03,-1.2711626218e-03,1.5051424223e-02,6.8382939086e-04,-7.1583632191e-04,2.6724220193e-02,1.2162921537e-03,-1.2733872264e-03,1.5057854863e-02,6.8845520536e-04,-7.1740372132e-04,2.6618198343e-02,1.2036217763e-03,-1.2670000933e-03,1.4987311033e-02,6.8137516295e-04,-7.1337332671e-04,2.6651052905e-02,1.2078387465e-03,-1.2710046370e-03,1.5006923692e-02,6.8380478359e-04,-7.1568115773e-04
5.0,120.0,2.6794817254e-02,5.1392533937e-04,-1.8007408825e-03,1.5089174406e-02,2.9312092110e-04,-1.0140604419e-03,2.6791262606e-02,5.1977022740e-04,-1.8065034033e-03,1.5095807871e-02,2.9614046356e-04,-1.0176782231e-03,2.6686253632e-02,5.1212639515e-04,-1.7947881842e-03,1.5025533203e-02,2.9204414685e-04,-1.0105397975e-03,2.6719230797e-02,5.1406119427e-04,-1.8006517573e-03,1.5045217418e-02,2.9315983985e-04,-1.0139164695e-03
5.0,135.0,2.6854234083e-02,-3.7843939540e-04,-1.9365657201e-03,1.5122510504e-02,-2.0939279037e-04,-1.0905481788e-03,2.6850453541e-02,-3.7659836261e-04,-1.9439360126e-03,1.5129299405e-02,-2.0881862585e-04,-1.0950698995e-03,2.6746053393e-02,-3.7725679651e-04,-1.9301707080e-03,1.5059079764e-02,-2.0870701777e-04,-1.0867657440e-03,2.6779435194e-02,-3.7830350601e-04,-1.9365416765e-03,1.5078993899e-02,-2.0930726710e-04,-1.0904337786e-03
5.0,150.0,2.6900918144e-02,-1.2505048546e-03,-1.6235981343e-03,1.5148679144e-02,-7.0047703010e-04,-9.1430513829e-04,2.6896953582e-02,-1.2528095567e-03,-1.6302595117e-03,1.5155539318e-02,-7.0239764607e-04,-9.1835754099e-04,2.6793185679e-02,-1.2464372652e-03,-1.6182480272e-03,1.5085496811e-02,-6.9808496985e-04,-9.1114040538e-04,2.6826677649e-02,-1.2504036342e-03,-1.6236139572e-03,1.5105474537e-02,-7.0036553208e-04,-9.1422948647e-04
5.0,165.0,2.6930760457e-02,-1.8825078459e-03,-9.2345742736e-04,1.5165396857e-02,-1.0563759907e-03,-5.2003131376e-04,2.6926642089e-02,-1.8878997031e-03,-9.2738086648e-04,1.5172309951e-02,-1.0601358415e-03,-5.2241173132e-04,2.6823337936e-02,-1.8763627796e-03,-9.2041880649e-04,1.5102386536e-02,-1.0527548589e-03,-5.1823376291e-04,2.6856847110e-02,-1.8824441419e-03,-9.2347608151e-04,1.5122374909e-02,-1.0562526562e-03,-5.1999372142e-04
5.0,180.0,2.6941027885e-02,-2.1129273234e-03,-9.0074591437e-19,1.5171146890e-02,-1.1861318737e-03,-5.0724166305e-19,2.6936840490e-02,-2.1194607096e-03,0.0000000000e+00,1.5178103857e-02,-1.1905733603e-03,0.0000000000e+00,2.6833688490e-02,-2.1060275922e-03,-8.9778494233e-19,1.5108182519e-02,-1.1820641944e-03,-5.0548996356e-19,2.6867224792e-02,-2.1128821601e-03,-9.0076579050e-19,1.5128186490e-02,-1.1860069631e-03,-5.0720594167e-19
10.0,0.0,2.6315293871e-02,-6.3380448092e-04,-2.5325574291e-19,1.4818559531e-02,-3.4218413399e-04,-1.4261567110e-19,2.6313404486e-02,-6.4564445450e-04,-2.5577088674e-19,1.4823523117e-02,-3.4986313622e-04,-1.4404915376e-19,2.6199895219e-02,-6.3127015996e-04,-2.5231361446e-19,1.4751117368e-02,-3.4076476675e-04,-1.4206144759e-19,2.6229697875e-02,-6.3396038063e-04,-2.5320689525e-19,1.4768991760e-02,-3.4228817719e-04,-1.4257497601e-19
10.0,15.0,2.6329015022e-02,-4.6298501287e-04,5.0875449295e-04,1.4826381929e-02,-2.4598299790e-04,2.8649444473e-04,2.6327279755e-02,-4.7362006350e-04,5.1394504992e-04,1.4831431308e-02,-2.5296777869e-04,2.8945139179e-04,2.6213914507e-02,-4.6109493468e-04,5.0686279938e-04,1.4759105963e-02,-2.4494223073e-04,2.8538160005e-04,2.6243755520e-02,-4.6321214321e-04,5.0867855536e-04,1.4777002866e-02,-2.4613585848e-04,2.8642518899e-04
10.0,30.0,2.6370200367e-02,-1.5142751528e-06,8.3238336176e-04,1.4849832910e-02,1.3907771233e-05,4.6873926882e-04,2.6369022779e-02,-8.7658015191e-06,8.4166691017e-04,1.4854921307e-02,8.8694180959e-06,4.7402176431e-04,2.6255476625e-02,-1.3172197040e-06,8.2932929022e-04,1.4782764224e-02,1.3952197240e-05,4.6694158676e-04,2.6285852593e-02,-1.8803338134e-06,8.3236489518e-04,1.4800964974e-02,1.3653157024e-05,4.6868551838e-04
10.0,45.0,2.6438653975e-02,6.1085441355e-04,8.3660788806e-04,1.4888723914e-02,3.5878886841e-04,4.7111822239e-04,2.6437007712e-02,6.0844399743e-04,8.4798460780e-04,1.4894979688e-02,3.5653524738e-04,4.7756987838e-04,2.6324894404e-02,6.0889669795e-04,8.3354963479e-04,1.4822190402e-02,3.5756313461e-04,4.6931778932e-04,2.6355717395e-02,6.1044168752e-04,8.3676337508e-04,1.4840646966e-02,3.5847686966e-04,4.7116220120e-04
10.0,60.0,2.6533272272e-02,1.1821165449e-03,4.7621781437e-04,1.4942326014e-02,6.8053630222e-04,2.6817209517e-04,2.6529905376e-02,1.1848657656e-03,4.8719440930e-04,1.4948305880e-02,6.8125357640e-04,2.7435245965e-04,2.6420640472e-02,1.1782100964e-03,4.7437684192e-04,1.4876417451e-02,6.7816036298e-04,2.6709086234e-04,2.6452099874e-02,1.1818038469e-03,4.7653715752e-04,1.4895237534e-02,6.8025185688e-04,2.6832710749e-04
10.0,75.0,2.6651174100e-02,1.5191458173e-03,-1.8914108134e-04,1.5008908642e-02,8.7039337146e-04,-1.0651084133e-04,2.6647983080e-02,1.5260870364e-03,-1.8088746838e-04,1.5015323171e-02,8.7356343374e-04,-1.0194708193e-04,2.6539832695e-02,1.5140770668e-03,-1.8877726174e-04,1.4943714870e-02,8.6733209062e-04,-1.0628824422e-04,2.6572000216e-02,1.5190107120e-03,-1.8875665305e-04,1.4962939423e-02,8.7019248375e-04,-1.0628452773e-04
10.0,90.0,2.6786963125e-02,1.4809818176e-03,-1.0063496018e-03,1.5085354066e-02,8.4897810991e-04,-5.6670471588e-04,2.6783456118e-02,1.4903474625e-03,-1.0023211245e-03,1.5092145863e-02,8.5338054462e-04,-5.6463446745e-04,2.6676975410e-02,1.4759598355e-03,-1.0032495902e-03,1.5020909752e-02,8.4594748862e-04,-5.6486483850e-04,2.6709843630e-02,1.4810102102e-03,-1.0059903594e-03,1.5040534647e-02,8.4887241463e-04,-5.6645002187e-04
10.0,105.0,2.6932405053e-02,1.0206690284e-03,-1.7657151385e-03,1.5166999028e-02,5.8984387866e-04,-9.9432552472e-04,2.6928494609e-02,1.0299053150e-03,-1.7662277722e-03,1.5174163592e-02,5.9413431994e-04,-9.9493150668e-04,2.6823810436e-02,1.0171508446e-03,-1.7600576495e-03,1.5103326310e-02,5.8770392287e-04,-9.9097441913e-04,2.6857306698e-02,1.0208158135e-03,-1.7654249113e-03,1.5123310182e-02,5.8982994531e-04,-9.9407014219e-04
